"","X","Year.Tag","Moved","First.Line","Second.Line","Year","Year.Line","Tags","Sex","Closest.Dist","Adj.Year.Avg.Abund","Adj.Line.Abund","Adj.Avg.Abund.z","Adj.Diff","Adj.Line.Abund.z","PI","Adj.Diff.z","Year.Numeric"
"77",1411,"2011-3052.306","0","203",NA,"2011","2011-203","3052.306","F",0.19949,3.840399003,5,-1.584859048,1.159600997,-1.315360474,"3",-0.460723972993229,2011
"78",1412,"2011-3064.3273","0","113",NA,"2011","2011-113","3064.3273","F",0.85448,3.840399003,10.41666667,-1.584859048,6.576267664,-0.740872366,"3",0.280858856899051,2011
"79",1413,"2011-3065.3283","0","112",NA,"2011","2011-112","3065.3283","M",0.84576,3.840399003,11.73913043,-1.584859048,7.898731432,-0.600612728,"3",0.461914196611622,2011
"80",1414,"2011-3070.3099","0","111",NA,"2011","2011-111","3070.3099","F",0.84576,3.840399003,9.791666667,-1.584859048,5.951267664,-0.807159455,"3",0.195291607301361,2011
"81",1415,"2011-3076.3077","1","203","201","2011","2011-203","3076.3077","M",0.19949,3.840399003,5,-1.584859048,1.159600997,-1.315360474,"3",-0.460723972993229,2011
"82",1416,"2011-3087.3089","0","112",NA,"2011","2011-112","3087.3089","M",0.84576,3.840399003,11.73913043,-1.584859048,7.898731432,-0.600612728,"3",0.461914196611622,2011
"83",1417,"2011-3274.3265","0","113",NA,"2011","2011-113","3274.3265","M",0.85448,3.840399003,10.41666667,-1.584859048,6.576267664,-0.740872366,"3",0.280858856899051,2011
"84",1418,"2011-3297.3272","0","112",NA,"2011","2011-112","3297.3272","M",0.84576,3.840399003,11.73913043,-1.584859048,7.898731432,-0.600612728,"3",0.461914196611622,2011
"85",1419,"2011-3301.3322","1","202","203","2011","2011-202","3301.3322","M",0.19949,3.840399003,6.666666667,-1.584859048,2.826267664,-1.138594902,"3",-0.232544640687087,2011
"86",1420,"2011-3301.3545","0","203",NA,"2011","2011-203","3301.3545","M",0.19949,3.840399003,5,-1.584859048,1.159600997,-1.315360474,"3",-0.460723972993229,2011
"87",1421,"2011-3319.332","0","202",NA,"2011","2011-202","3319.332","F",0.19949,3.840399003,6.666666667,-1.584859048,2.826267664,-1.138594902,"3",-0.232544640687087,2011
"88",1422,"2011-3323.3324","0","202",NA,"2011","2011-202","3323.3324","M",0.19949,3.840399003,6.666666667,-1.584859048,2.826267664,-1.138594902,"3",-0.232544640687087,2011
"89",1423,"2011-3347.335","0","501",NA,"2011","2011-501","3347.335","F",0.26938,3.840399003,2.884615385,-1.584859048,-0.955783618,-1.539716776,"3",-0.750336202348136,2011
"90",1424,"2011-3388.3389","1","503","501","2011","2011-503","3388.3389","M",0.26938,3.840399003,2.916666667,-1.584859048,-0.923732336,-1.536317438,"3",-0.745948138273225,2011
"91",1425,"2011-3499.35","0","202",NA,"2011","2011-202","3499.35","M",0.19949,3.840399003,6.666666667,-1.584859048,2.826267664,-1.138594902,"3",-0.232544640687087,2011
"92",1426,"2011-3538.3539","0","202",NA,"2011","2011-202","3538.3539","F",0.19949,3.840399003,6.666666667,-1.584859048,2.826267664,-1.138594902,"3",-0.232544640687087,2011
"93",1427,"2011-3554.3555","0","111",NA,"2011","2011-111","3554.3555","M",0.84576,3.840399003,9.791666667,-1.584859048,5.951267664,-0.807159455,"3",0.195291607301361,2011
"94",1428,"2011-3561.358","0","703",NA,"2011","2011-703","3561.358","M",0.1143,3.840399003,3.80952381,-1.584859048,-0.030875193,-1.441621596,"3",-0.623709210256967,2011
"95",1429,"2011-3571.3572","0","803",NA,"2011","2011-803","3571.3572","M",0.5879,3.840399003,1,-1.584859048,-2.840399003,-1.739597846,"3",-1.00835437041844,2011
"96",1430,"2011-3573.3574","0","112",NA,"2011","2011-112","3573.3574","M",0.84576,3.840399003,11.73913043,-1.584859048,7.898731432,-0.600612728,"3",0.461914196611622,2011
"97",1431,"2011-3576.3578","0","402",NA,"2011","2011-402","3576.3578","M",0.85448,3.840399003,0.833333333,-1.584859048,-3.007065669,-1.757274403,"3",-1.03117230355322,2011
"98",1432,"2011-3601.3602","0","113",NA,"2011","2011-113","3601.3602","F",0.85448,3.840399003,10.41666667,-1.584859048,6.576267664,-0.740872366,"3",0.280858856899051,2011
"99",1433,"2011-3624.3625","0","113",NA,"2011","2011-113","3624.3625","M",0.85448,3.840399003,10.41666667,-1.584859048,6.576267664,-0.740872366,"3",0.280858856899051,2011
"100",1434,"2011-3633.3634","0","113",NA,"2011","2011-113","3633.3634","M",0.85448,3.840399003,10.41666667,-1.584859048,6.576267664,-0.740872366,"3",0.280858856899051,2011
"101",1435,"2011-3641.3642","0","113",NA,"2011","2011-113","3641.3642","M",0.85448,3.840399003,10.41666667,-1.584859048,6.576267664,-0.740872366,"3",0.280858856899051,2011
"102",1436,"2011-3643.3644","0","111",NA,"2011","2011-111","3643.3644","M",0.84576,3.840399003,9.791666667,-1.584859048,5.951267664,-0.807159455,"3",0.195291607301361,2011
"103",1437,"2011-3645.3646","0","111",NA,"2011","2011-111","3645.3646","F",0.84576,3.840399003,9.791666667,-1.584859048,5.951267664,-0.807159455,"3",0.195291607301361,2011
"104",1438,"2011-3647.3648","0","111",NA,"2011","2011-111","3647.3648","F",0.84576,3.840399003,9.791666667,-1.584859048,5.951267664,-0.807159455,"3",0.195291607301361,2011
"105",1439,"2011-3663.3664","0","503",NA,"2011","2011-503","3663.3664","M",0.26938,3.840399003,2.916666667,-1.584859048,-0.923732336,-1.536317438,"3",-0.745948138273225,2011
