"","timesincefire","avg.org","cubeorg","Moisture","ecoregion3","cubePima","burn.name","site"
"392",44,6.45,1.86145798506385,"Xeric","shield",0,"Russell lake","F10-4"
"393",44,3.55,1.5254903019003,"Xeric","shield",0,"Behchoko","F11-20"
"394",44,3.75,1.55361625297693,"Xeric","shield",0,"Behchoko","F11-21"
"395",42,34.85,3.26638666673141,"Subhydric","shield",1.88601180445631,"Discovery Mine","F13-15"
"396",36,4.5,1.65096362444731,"Xeric","shield",0,"Discovery Mine","F14-2"
"397",36,3.85,1.56730520724067,"Xeric","shield",0.683990378670679,"Discovery Mine","F14-7"
"398",43,6.57,1.87293105121353,"Xeric","plains",1.37995439812904,"Rae-Edzo SW","F2-10"
"399",43,45,3.55689330449006,"Subhydric","plains",1.3933850439373,"Rae-Edzo SW","F2-6"
"400",43,5.3,1.74351340126513,"Xeric","plains",0,"Rae-Edzo SW","F2-7"
"401",46,70.1,4.12324688282716,"Subhydric","plains",0.51924941018511,"Enterprise N","F3-1"
"402",46,15.25,2.47983783192115,"Xeric","plains",2.96965599903491,"Enterprise N","F3-20"
"403",35,2.15,1.29066288067403,"Xeric","plains",0,"Mackenzie Hwy N","F4-21"
"404",34,14.5,2.43849948053666,"Xeric","plains",2.02096669550578,"Fort Smith Hwy","F6-1"
"405",34,81.1,4.32852853371075,"Subhydric","plains",0.476913372598639,"Fort Smith Hwy","F6-26"
"406",34,4.55,1.65705579634347,"Xeric","plains",0,"Fort Smith Hwy","F6-32"
"407",65,5.05,1.71565697162171,"Xeric","plains",0,"Redknife river","F8-2"
"408",43,7.7,1.97468082221237,"Xeric","shield",2.30883262917994,"Marion lake","F9-6"
"409",107,12,2.28942848510666,"Xeric","shield",1.5313551440848,"unburned","GAM-UB-1"
"410",120,9.1,2.08775947866345,"Xeric","plains",0,"unburned","HWY3-UB-1"
"411",120,19.9,2.70988602617033,"Mesic","plains",2.89546233439846,"unburned","HWY3-UB-1"
"412",120,65.8,4.03715382974611,"Subhydric","plains",1.93115488871676,"unburned","KAK-UB-1"
