litter_id,sex,weight,tagwt,year,n1_date,tag_date,grid,food,mother_byear,mother_age,litter_size,growth,bdate,survived_200d,aliveinfall,owner,density,cones
25,F,11.9,NA,2013,2013-04-13,NA,AG,1,2010,3,4,NA,102,FALSE,0,0,2.91005291,1.459180287
25,M,11.8,NA,2013,2013-04-13,NA,AG,1,2010,3,4,NA,102,FALSE,0,0,2.91005291,1.459180287
25,F,11.1,NA,2013,2013-04-13,NA,AG,1,2010,3,4,NA,102,FALSE,0,0,2.91005291,1.459180287
26,F,11.7,NA,2013,2013-04-13,NA,AG,1,2010,3,4,NA,102,FALSE,0,0,2.91005291,1.459180287
26,M,12.2,NA,2013,2013-04-13,NA,AG,1,2010,3,4,NA,102,FALSE,0,0,2.91005291,1.459180287
26,F,9.7,NA,2013,2013-04-13,NA,AG,1,2010,3,4,NA,102,FALSE,0,0,2.91005291,1.459180287
26,F,9.8,NA,2013,2013-04-13,NA,AG,1,2010,3,4,NA,102,FALSE,0,0,2.91005291,1.459180287
27,F,15.3,62.4,2013,2013-04-13,2013-05-06,AG,1,2011,2,3,NA,101,FALSE,0,0,2.91005291,1.459180287
27,F,14.1,61.6,2013,2013-04-13,2013-05-06,AG,1,2011,2,3,NA,101,FALSE,0,0,2.91005291,1.459180287
27,M,9.8,48.5,2013,2013-04-13,2013-05-06,AG,1,2011,2,3,NA,101,FALSE,1,0,2.91005291,1.459180287
28,F,14.3,77.4,2013,2013-04-14,2013-05-07,AG,1,2011,2,3,NA,102,FALSE,0,0,2.91005291,1.459180287
28,F,13.8,71.8,2013,2013-04-14,2013-05-07,AG,1,2011,2,3,NA,102,FALSE,0,0,2.91005291,1.459180287
28,F,13,65.6,2013,2013-04-14,2013-05-07,AG,1,2011,2,3,NA,102,FALSE,1,0,2.91005291,1.459180287
29,F,9.9,NA,2013,2013-04-14,2013-05-09,AG,1,2010,3,3,NA,102,FALSE,0,0,2.91005291,1.459180287
29,F,8,NA,2013,2013-04-14,2013-05-09,AG,1,2010,3,3,NA,102,FALSE,0,0,2.91005291,1.459180287
29,M,11.3,82.3,2013,2013-04-14,2013-05-09,AG,1,2010,3,3,NA,102,FALSE,0,0,2.91005291,1.459180287
30,M,7.7,46.4,2013,2013-04-15,2013-05-09,AG,1,2009,4,3,NA,105,TRUE,1,1,2.91005291,1.459180287
30,M,8.8,50.5,2013,2013-04-15,2013-05-09,AG,1,2009,4,3,NA,105,FALSE,0,0,2.91005291,1.459180287
30,F,7.9,48,2013,2013-04-15,2013-05-09,AG,1,2009,4,3,NA,105,FALSE,0,0,2.91005291,1.459180287
31,M,27,71.8,2013,2013-04-15,2013-04-30,AG,1,2010,3,3,NA,97,FALSE,0,0,2.91005291,1.459180287
31,F,24.1,66.5,2013,2013-04-15,2013-04-30,AG,1,2010,3,3,NA,97,TRUE,1,1,2.91005291,1.459180287
31,M,28.1,75.1,2013,2013-04-15,2013-04-30,AG,1,2010,3,3,NA,97,FALSE,0,0,2.91005291,1.459180287
32,F,10.1,57.7,2013,2013-04-15,2013-05-09,AG,1,2011,2,4,NA,104,TRUE,1,1,2.91005291,1.459180287
32,M,11.8,59.9,2013,2013-04-15,2013-05-09,AG,1,2011,2,4,NA,104,FALSE,0,0,2.91005291,1.459180287
32,F,11,55.7,2013,2013-04-15,2013-05-09,AG,1,2011,2,4,NA,104,FALSE,0,0,2.91005291,1.459180287
32,M,11,57.3,2013,2013-04-15,2013-05-09,AG,1,2011,2,4,NA,104,FALSE,0,0,2.91005291,1.459180287
33,F,10.4,50.7,2013,2013-04-15,2013-05-09,AG,1,2010,3,3,NA,104,TRUE,1,1,2.91005291,1.459180287
33,M,10.5,53.2,2013,2013-04-15,2013-05-09,AG,1,2010,3,3,NA,104,TRUE,1,1,2.91005291,1.459180287
33,F,10.4,52.4,2013,2013-04-15,2013-05-09,AG,1,2010,3,3,NA,104,FALSE,0,0,2.91005291,1.459180287
34,F,7,36.3,2013,2013-04-15,2013-05-09,JO,0,2007,6,3,1.220833333,104,FALSE,0,0,3.048626858,1.853722378
34,F,8.7,48.4,2013,2013-04-15,2013-05-09,JO,0,2007,6,3,1.654166667,104,FALSE,0,0,3.048626858,1.853722378
34,F,9.1,45.7,2013,2013-04-15,2013-05-09,JO,0,2007,6,3,1.525,104,TRUE,1,1,3.048626858,1.853722378
35,F,9,NA,2013,2013-04-15,NA,JO,0,2009,4,4,NA,103,FALSE,0,0,3.048626858,1.853722378
35,M,9.1,NA,2013,2013-04-15,NA,JO,0,2009,4,4,NA,103,FALSE,0,0,3.048626858,1.853722378
35,F,9.1,NA,2013,2013-04-15,NA,JO,0,2009,4,4,NA,103,FALSE,0,0,3.048626858,1.853722378
35,M,9.3,NA,2013,2013-04-15,NA,JO,0,2009,4,4,NA,103,FALSE,0,0,3.048626858,1.853722378
36,F,10.3,43.5,2013,2013-04-13,2013-05-08,JO,0,2011,2,4,1.328,103,FALSE,0,0,3.048626858,1.853722378
36,F,10.6,53.5,2013,2013-04-13,2013-05-08,JO,0,2011,2,4,1.716,103,FALSE,0,0,3.048626858,1.853722378
36,F,9.8,43.3,2013,2013-04-13,2013-05-08,JO,0,2011,2,4,1.34,103,FALSE,0,0,3.048626858,1.853722378
36,F,11,NA,2013,2013-04-13,2013-05-08,JO,0,2011,2,4,NA,103,FALSE,0,0,3.048626858,1.853722378
37,M,12.1,48.3,2013,2013-04-16,2013-05-09,JO,0,2010,3,3,1.573913043,104,TRUE,1,1,3.048626858,1.853722378
37,F,12.1,49.7,2013,2013-04-16,2013-05-09,JO,0,2010,3,3,1.634782609,104,FALSE,0,0,3.048626858,1.853722378
37,M,10.8,47.4,2013,2013-04-16,2013-05-09,JO,0,2010,3,3,1.591304348,104,FALSE,0,0,3.048626858,1.853722378
